Timestamp,X,Y,Z,Activity
37:00.4,0.033519,-5.523423,1.410185,running
37:00.4,-1.893813,-4.905719,1.11091,running
37:00.5,-2.422932,-3.986346,1.098939,running
37:00.5,-1.879448,-4.316746,1.25935,running
37:00.5,1.405396,-7.417237,1.431733,running
37:00.5,2.257732,-9.706094,2.492364,running
37:00.5,3.931279,-13.804967,1.106121,running
37:00.6,4.76925,-15.337256,1.209072,running
37:00.6,2.669535,-5.956774,5.437232,running
37:00.6,-0.725443,-13.594277,6.272809,running
37:00.6,-2.20506,-22.127213,4.570531,running
37:00.6,1.596933,-14.008474,5.911284,running
37:00.7,0.924162,-8.315063,6.318298,running
37:00.7,1.201889,-6.773197,4.975151,running
37:00.7,1.086968,-5.439626,3.699042,running
37:00.7,1.42455,-4.36463,3.643975,running
37:00.7,-0.337582,-3.655946,3.241749,running
37:00.8,-1.63524,-3.466804,0.684742,running
37:00.8,-0.890643,-2.035071,-0.720655,running
37:00.8,2.185906,-1.151611,1.472434,running
37:00.8,5.312734,-4.900931,2.391808,running
37:00.8,6.258443,-6.16507,0.94571,running
37:00.9,5.93762,-2.657564,-0.964863,running
37:00.9,7.78355,-2.731784,-2.224213,running
37:00.9,10.520123,-21.344309,0.299275,running
37:00.9,-10.237606,-31.658529,-6.694188,running
37:00.9,-5.188235,-8.844181,12.457031,running
37:01.0,3.797204,2.99754,-1.592144,running
37:01.0,5.758055,-12.70124,-1.82917,running
37:01.0,1.946486,-25.854984,-2.145205,running
37:01.0,-5.820304,-15.993267,8.116343,running
37:01.0,-8.604761,-16.412252,6.593631,running
37:01.1,-1.364695,-13.663709,5.872977,running
37:01.1,0.76375,-12.2224,4.517859,running
37:01.1,-2.346318,-13.019669,2.542642,running
